mode: count
cmd/compile/internal/amd64/ssa.go:1311.3,1311.76 1 5
cmd/compile/internal/amd64/ssa.go:1317.3,1317.70 1 5
cmd/compile/internal/amd64/ssa.go:1321.3,1322.76 2 5
cmd/compile/internal/amd64/ssa.go:2455.2,2455.16 1 2
cmd/compile/internal/amd64/ssa.go:2464.3,2464.19 1 2
cmd/compile/internal/base/base.go:18.2,18.45 1 1
cmd/compile/internal/base/base.go:23.2,23.15 1 1
cmd/compile/internal/base/flag.go:159.2,160.1 39 1
cmd/compile/internal/base/flag.go:161.2,165.1 39 1
cmd/compile/internal/base/flag.go:166.2,179.1 39 1
cmd/compile/internal/base/flag.go:180.2,194.1 39 1
cmd/compile/internal/base/flag.go:195.2,196.1 39 1
cmd/compile/internal/base/flag.go:197.2,198.1 39 1
cmd/compile/internal/base/flag.go:199.2,203.1 39 1
cmd/compile/internal/base/flag.go:204.2,204.51 39 1
cmd/compile/internal/base/flag.go:210.2,210.27 1 1
cmd/compile/internal/base/flag.go:213.2,214.1 2 1
cmd/compile/internal/base/flag.go:217.2,217.63 2 1
cmd/compile/internal/base/flag.go:221.2,222.1 2 1
cmd/compile/internal/base/flag.go:246.2,246.29 2 1
cmd/compile/internal/base/flag.go:264.9,264.62 1 1
cmd/compile/internal/base/flag.go:268.2,268.29 1 1
cmd/compile/internal/base/flag.go:272.3,273.1 1 1
cmd/compile/internal/base/flag.go:274.2,274.25 1 1
cmd/compile/internal/base/flag.go:277.2,277.25 1 1
cmd/compile/internal/base/flag.go:280.2,280.34 1 1
cmd/compile/internal/base/flag.go:284.2,284.33 1 1
cmd/compile/internal/base/flag.go:287.2,287.34 1 1
cmd/compile/internal/base/flag.go:291.2,291.74 1 1
cmd/compile/internal/base/flag.go:294.2,294.74 1 1
cmd/compile/internal/base/flag.go:297.2,297.82 1 1
cmd/compile/internal/base/flag.go:300.2,300.181 1 1
cmd/compile/internal/base/flag.go:303.2,304.1 8 1
cmd/compile/internal/base/flag.go:305.2,311.1 8 1
cmd/compile/internal/base/flag.go:312.2,312.21 8 1
cmd/compile/internal/base/flag.go:316.2,316.65 1 1
cmd/compile/internal/base/flag.go:321.2,321.24 1 1
cmd/compile/internal/base/flag.go:325.2,325.23 1 1
cmd/compile/internal/base/flag.go:344.2,344.9 1 1
cmd/compile/internal/base/flag.go:352.2,352.41 1 1
cmd/compile/internal/base/flag.go:359.2,359.21 1 1
cmd/compile/internal/base/flag.go:362.2,362.33 1 1
cmd/compile/internal/base/flag.go:366.2,366.27 1 1
cmd/compile/internal/base/flag.go:379.2,379.26 1 1
cmd/compile/internal/base/flag.go:380.3,381.1 1 1
cmd/compile/internal/base/flag.go:384.2,385.1 2 1
cmd/compile/internal/base/flag.go:387.2,387.58 2 1
cmd/compile/internal/base/flag.go:395.2,405.1 4 1
cmd/compile/internal/base/flag.go:406.2,408.36 4 1
cmd/compile/internal/base/flag.go:409.3,410.22 2 69
cmd/compile/internal/base/flag.go:411.4,411.12 1 1
cmd/compile/internal/base/flag.go:414.3,415.23 2 68
cmd/compile/internal/base/flag.go:416.4,417.1 1 10
cmd/compile/internal/base/flag.go:417.10,417.95 1 58
cmd/compile/internal/base/flag.go:418.4,419.1 1 14
cmd/compile/internal/base/flag.go:420.4,421.1 1 44
cmd/compile/internal/base/flag.go:422.3,422.42 1 68
cmd/compile/internal/base/flag.go:423.4,424.1 1 2
cmd/compile/internal/base/flag.go:426.3,427.17 2 68
cmd/compile/internal/base/flag.go:431.3,431.88 1 68
cmd/compile/internal/base/flag.go:435.3,435.17 1 68
cmd/compile/internal/base/flag.go:437.4,438.35 2 15
cmd/compile/internal/base/flag.go:440.4,441.34 2 3
cmd/compile/internal/base/flag.go:443.4,444.37 2 19
cmd/compile/internal/base/flag.go:446.4,447.35 2 6
cmd/compile/internal/base/flag.go:452.4,453.37 2 1
cmd/compile/internal/base/flag.go:455.4,456.35 2 18
cmd/compile/internal/base/flag.go:458.4,459.33 2 5
cmd/compile/internal/base/flag.go:461.4,461.58 1 1
cmd/compile/internal/base/flag.go:462.5,463.1 1 1
cmd/compile/internal/base/flag.go:474.2,481.1 1 1
cmd/compile/internal/base/flag.go:484.2,484.25 1 1
cmd/compile/internal/base/flag.go:492.2,492.60 1 1
cmd/compile/internal/base/flag.go:496.2,496.36 1 1
cmd/compile/internal/base/flag.go:500.2,500.36 1 1
cmd/compile/internal/base/flag.go:503.2,503.13 1 1
cmd/compile/internal/base/flag.go:513.2,513.31 1 1
cmd/compile/internal/base/flag.go:516.2,518.16 3 1
cmd/compile/internal/base/flag.go:522.2,522.63 1 1
cmd/compile/internal/base/flag.go:523.3,525.49 3 3
cmd/compile/internal/base/flag.go:526.4,526.12 1 2
cmd/compile/internal/base/flag.go:529.3,530.12 2 1
cmd/compile/internal/base/flag.go:531.4,532.1 1 1
cmd/compile/internal/base/flag.go:533.3,534.1 2 1
cmd/compile/internal/base/flag.go:535.3,535.15 2 1
cmd/compile/internal/base/flag.go:544.4,544.45 1 1
cmd/compile/internal/base/flag.go:547.4,547.40 1 1
cmd/compile/internal/base/flag.go:582.2,582.42 1 1
cmd/compile/internal/base/flag.go:583.3,584.12 2 1
cmd/compile/internal/base/flag.go:587.11,587.11 0 1
cmd/compile/internal/base/flag.go:599.2,599.27 1 1
cmd/compile/internal/base/hashdebug.go:164.2,164.13 1 1
cmd/compile/internal/base/hashdebug.go:168.2,169.31 2 1
cmd/compile/internal/base/hashdebug.go:170.3,171.17 2 1
cmd/compile/internal/base/hashdebug.go:174.3,175.12 2 1
cmd/compile/internal/base/link.go:32.2,32.17 1 115
cmd/compile/internal/base/link.go:36.2,37.29 2 115
cmd/compile/internal/base/link.go:38.3,39.1 1 10
cmd/compile/internal/base/link.go:40.2,40.46 1 115
cmd/compile/internal/base/link.go:52.2,52.57 1 115
cmd/compile/internal/base/link.go:52.59,52.72 1 103
cmd/compile/internal/base/print.go:39.2,40.1 1 14
cmd/compile/internal/base/print.go:44.2,45.1 1 1
cmd/compile/internal/base/print.go:80.2,80.36 1 1
cmd/compile/internal/base/print.go:81.3,82.1 1 1
cmd/compile/internal/base/print.go:83.2,83.25 1 1
cmd/compile/internal/base/print.go:84.3,85.1 1 1
cmd/compile/internal/base/print.go:243.2,243.8 1 64
cmd/compile/internal/base/print.go:250.2,250.8 1 12
cmd/compile/internal/base/print.go:285.2,285.18 1 6
cmd/compile/internal/base/startheap.go:18.2,20.25 3 1
cmd/compile/internal/base/startheap.go:22.3,22.11 1 1
cmd/compile/internal/base/startheap.go:23.4,24.1 1 1
cmd/compile/internal/base/startheap.go:27.2,27.19 1 1
cmd/compile/internal/base/startheap.go:60.2,61.1 5 1
cmd/compile/internal/base/startheap.go:62.2,68.1 5 1
cmd/compile/internal/base/startheap.go:69.2,70.1 5 1
cmd/compile/internal/base/startheap.go:71.2,79.1 5 1
cmd/compile/internal/base/startheap.go:107.2,107.22 5 1
cmd/compile/internal/base/startheap.go:108.3,109.1 1 1
cmd/compile/internal/base/startheap.go:110.2,110.22 1 1
cmd/compile/internal/base/startheap.go:111.3,112.1 1 1
cmd/compile/internal/base/startheap.go:113.2,113.22 1 1
cmd/compile/internal/base/startheap.go:114.3,115.1 1 1
cmd/compile/internal/base/startheap.go:117.2,117.43 1 1
cmd/compile/internal/base/startheap.go:118.3,118.27 1 1
cmd/compile/internal/base/startheap.go:121.3,121.38 1 1
cmd/compile/internal/base/startheap.go:163.2,164.27 2 1
cmd/compile/internal/base/startheap.go:165.3,165.40 1 4
cmd/compile/internal/base/startheap.go:175.2,178.19 4 1
cmd/compile/internal/base/startheap.go:182.2,182.19 1 1
cmd/compile/internal/base/startheap.go:202.2,203.1 3 1
cmd/compile/internal/base/startheap.go:207.2,208.1 3 1
cmd/compile/internal/base/startheap.go:209.2,209.28 3 1
cmd/compile/internal/base/startheap.go:211.3,213.1 6 1
cmd/compile/internal/base/startheap.go:214.3,217.1 6 1
cmd/compile/internal/base/startheap.go:218.3,218.32 6 1
cmd/compile/internal/base/startheap.go:219.4,219.21 1 1
cmd/compile/internal/base/startheap.go:223.4,223.15 1 1
cmd/compile/internal/base/startheap.go:271.2,271.23 1 1
cmd/compile/internal/base/timings.go:36.2,37.1 1 9
cmd/compile/internal/base/timings.go:42.2,43.1 1 8
cmd/compile/internal/base/timings.go:48.2,49.1 1 1
cmd/compile/internal/base/timings.go:56.2,57.14 2 2
cmd/compile/internal/base/timings.go:58.3,60.1 2 1
cmd/compile/internal/base/timings.go:61.2,62.11 2 2
cmd/compile/internal/base/timings.go:63.3,64.1 1 2
cmd/compile/internal/base/timings.go:65.2,65.41 1 2
cmd/compile/internal/bitvec/bv.go:26.2,28.1 2 24
cmd/compile/internal/bitvec/bv.go:37.2,43.1 3 3
cmd/compile/internal/bitvec/bv.go:47.2,50.1 3 9
cmd/compile/internal/bitvec/bv.go:53.2,53.20 1 10
cmd/compile/internal/bitvec/bv.go:56.2,56.26 1 10
cmd/compile/internal/bitvec/bv.go:57.3,57.20 1 1
cmd/compile/internal/bitvec/bv.go:61.2,61.13 1 10
cmd/compile/internal/bitvec/bv.go:65.2,66.1 1 4
cmd/compile/internal/bitvec/bv.go:69.2,69.24 1 24
cmd/compile/internal/bitvec/bv.go:72.2,73.37 2 24
cmd/compile/internal/bitvec/bv.go:95.2,95.15 1 2
cmd/compile/internal/bitvec/bv.go:96.3,97.1 1 2
cmd/compile/internal/bitvec/bv.go:129.2,130.25 2 1
cmd/compile/internal/bitvec/bv.go:131.3,132.1 1 1
cmd/compile/internal/bitvec/bv.go:133.2,133.10 1 1
cmd/compile/internal/bitvec/bv.go:137.2,137.25 1 2
cmd/compile/internal/bitvec/bv.go:138.3,139.1 1 2
cmd/compile/internal/bitvec/bv.go:140.2,140.24 1 2
cmd/compile/internal/bitvec/bv.go:141.3,142.1 1 2
cmd/compile/internal/bitvec/bv.go:147.2,147.22 1 13
cmd/compile/internal/bitvec/bv.go:148.3,149.1 1 13
cmd/compile/internal/bitvec/bv.go:171.2,171.22 1 2
cmd/compile/internal/bitvec/bv.go:172.3,173.1 1 2
cmd/compile/internal/bitvec/bv.go:195.2,196.1 1 7
cmd/compile/internal/bloop/bloop.go:348.2,349.32 2 1
cmd/compile/internal/bloop/bloop.go:355.2,355.17 1 1
