1	-	src/cmd/compile/internal/amd64/galign.go:266-603:func	Init	src/cmd/compile/internal/amd64/galign.go:14
80	main	src/cmd/compile/internal/abi/abiutils.go:17224-17314:func	align	src/cmd/compile/internal/abi/abiutils.go:492
81	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
82	af	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
83	main	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
84	af	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
85	af	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
86	main	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
87	af	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
88	af	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
89	main	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
90	af	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
91	af	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
92	main	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
93	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
94	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
95	af	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
96	af	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
97	main	src/cmd/compile/internal/abi/abiutils.go:14280-15210:method	updateOffset	src/cmd/compile/internal/abi/abiutils.go:410
98	af	src/cmd/compile/internal/abi/abiutils.go:9746-9858:method	FloatIndexFor	src/cmd/compile/internal/abi/abiutils.go:296
99	af	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
100	main	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
101	af	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
102	af	src/cmd/compile/internal/abi/abiutils.go:9746-9858:method	FloatIndexFor	src/cmd/compile/internal/abi/abiutils.go:296
103	af	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
104	main	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
105	af	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
106	af	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
107	af	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
108	main	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
109	af	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
110	af	src/cmd/compile/internal/abi/abiutils.go:3926-4369:func	RegisterTypes	src/cmd/compile/internal/abi/abiutils.go:118
111	af	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
112	main	src/cmd/compile/internal/abi/abiutils.go:14280-15210:method	updateOffset	src/cmd/compile/internal/abi/abiutils.go:410
113	main	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
114	main	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
115	af	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
116	main	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
117	af	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
118	main	src/cmd/compile/internal/abi/abiutils.go:14280-15210:method	updateOffset	src/cmd/compile/internal/abi/abiutils.go:410
119	af	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
120	af	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
121	af	src/cmd/compile/internal/abi/abiutils.go:4371-4703:method	RegisterTypesAndOffsets	src/cmd/compile/internal/abi/abiutils.go:137
122	main	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
123	af	src/cmd/compile/internal/abi/abiutils.go:6150-7404:func	appendParamOffsets	src/cmd/compile/internal/abi/abiutils.go:197
124	af	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
125	af	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
126	af	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
127	main	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
128	af	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
129	af	src/cmd/compile/internal/abi/abiutils.go:4371-4703:method	RegisterTypesAndOffsets	src/cmd/compile/internal/abi/abiutils.go:137
130	af	src/cmd/compile/internal/abi/abiutils.go:6150-7404:func	appendParamOffsets	src/cmd/compile/internal/abi/abiutils.go:197
