  proof lib LeanIM; executable lib LeanIMPrExecutable; decoder state: s0
  no-effect clauses (the body is the retire): 5
  emitted definitions scanned: 4750; lean-sail definitions indexed: 149
  decode: 108 words, lean rc=0, 36.3s
  register expressions evaluated: 3 of 3 (3.1s)
  certifying with 4 Lean job(s) at a time
  arch_au_179_c_neg_i64                    CERTIFIED   16.5s  (pure_RTYPE (zero_reg) (a) (LeanIM.rop.SUB))
  arch_au_197_c_sizeof_i32                 CERTIFIED   16.5s  (pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x04#6)))) (ADDI))
  arch_au_200_c_sizeof_f32                 CERTIFIED   16.6s  (pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x04#6)))) (ADDI))
  arch_au_408_c_ne_i32_i64                 CERTIFIED   16.6s  (pure_RTYPE (zero_reg) ((pure_RTYPE (a) (b) (XOR))) (LeanIM.rop.SLTU))
  arch_au_190_c_preinc_i64                 CERTIFIED   16.8s  (pure_ITYPE (a) (((sign_extend (m := 12) (0x01#6)))) (ADDI))
  arch_au_194_c_predec_i64                 CERTIFIED   16.3s  (pure_ITYPE (a) (((sign_extend (m := 12) (0x3f#6)))) (ADDI))
  arch_au_240_c_add_i32_i64                CERTIFIED   16.4s  (pure_RTYPE (a) (b) (ADD))
  arch_au_243_c_add_i64_i32                CERTIFIED   16.7s  (pure_RTYPE (a) (b) (ADD))
  arch_au_246_c_add_i64_bool               CERTIFIED   16.5s  (pure_RTYPE (a) (b) (ADD))
  arch_au_252_c_add_bool_i64               CERTIFIED   17.0s  (pure_RTYPE (a) (b) (ADD))
  arch_au_256_c_sub_i32_i64                CERTIFIED   16.6s  (pure_RTYPE (a) (b) (SUB))
  arch_au_259_c_sub_i64_i32                CERTIFIED   16.4s  (pure_RTYPE (a) (b) (SUB))
  arch_au_262_c_sub_i64_bool               CERTIFIED   16.9s  (pure_RTYPE (a) (b) (SUB))
  arch_au_268_c_sub_bool_i64               CERTIFIED   16.5s  (pure_RTYPE (a) (b) (SUB))
  arch_au_286_c_div_i64_bool               CERTIFIED   16.1s  a
  arch_au_302_c_rem_i64_bool               CERTIFIED   16.5s  (pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x00#6)))) (ADDI))
  arch_au_343_c_bor_i32_i32                CERTIFIED   16.6s  (pure_RTYPE (a) (b) (OR))
  arch_au_359_c_bxor_i32_i32               CERTIFIED   16.5s  (pure_RTYPE (a) (b) (XOR))
  arch_au_375_c_band_i32_i32               CERTIFIED   16.7s  (pure_RTYPE (a) (b) (AND))
  arch_au_392_c_eq_i32_i64                 CERTIFIED   16.6s  (pure_ITYPE ((pure_RTYPE (a) (b) (XOR))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_395_c_eq_i64_i32                 CERTIFIED   16.6s  (pure_ITYPE ((pure_RTYPE (a) (b) (XOR))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_398_c_eq_i64_bool                CERTIFIED   16.6s  (pure_ITYPE ((pure_RTYPE (a) (b) (XOR))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_404_c_eq_bool_i64                CERTIFIED   17.1s  (pure_ITYPE ((pure_RTYPE (a) (b) (XOR))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_407_c_ne_i32_i32                 CERTIFIED   16.7s  (pure_RTYPE (zero_reg) ((pure_RTYPE (a) (b) (XOR))) (LeanIM.rop.SLTU))
  arch_au_174_c_not_i32                    CERTIFIED   16.6s  (pure_ITYPE (a) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_178_c_neg_i32                    CERTIFIED   16.2s  (pure_RTYPEW (zero_reg) (a) (LeanIM.ropw.SUBW))
  arch_au_239_c_add_i32_i32                CERTIFIED   16.4s  (pure_RTYPEW (a) (b) (ADDW))
  arch_au_255_c_sub_i32_i32                CERTIFIED   16.6s  (pure_RTYPEW (a) (b) (SUBW))
  arch_au_271_c_mul_i32_i32                CERTIFIED   16.5s  (pure_MULW (b) (a))
  arch_au_294_c_div_bool_bool              CERTIFIED   16.3s  a
  arch_au_311_c_lor_i32_i32                CERTIFIED   16.4s  (pure_RTYPE (zero_reg) ((pure_RTYPE (a) (b) (OR))) (LeanIM.rop.SLTU))
  arch_au_314_c_lor_i32_bool               CERTIFIED   16.5s  (pure_RTYPE ((pure_RTYPE (zero_reg) (a) (LeanIM.rop.SLTU))) (b) (OR))
  arch_au_323_c_lor_bool_i32               CERTIFIED   16.7s  (pure_RTYPE (a) ((pure_RTYPE (zero_reg) (b) (LeanIM.rop.SLTU))) (OR))
  arch_au_327_c_land_i32_i32               CERTIFIED   16.8s  (pure_RTYPE ((pure_RTYPE (zero_reg) (a) (LeanIM.rop.SLTU))) ((pure_RTYPE (zero_reg) (b) (L
  arch_au_330_c_land_i32_bool              CERTIFIED   17.1s  (pure_RTYPE ((pure_RTYPE (zero_reg) (a) (LeanIM.rop.SLTU))) (b) (AND))
  arch_au_339_c_land_bool_i32              CERTIFIED   16.4s  (pure_RTYPE (a) ((pure_RTYPE (zero_reg) (b) (LeanIM.rop.SLTU))) (AND))
  arch_au_346_c_bor_i32_bool               CERTIFIED   16.4s  (pure_RTYPE (a) (b) (OR))
  arch_au_355_c_bor_bool_i32               CERTIFIED   17.0s  (pure_RTYPE (a) (b) (OR))
  arch_au_362_c_bxor_i32_bool              CERTIFIED   16.4s  (pure_RTYPE (a) (b) (XOR))
  arch_au_371_c_bxor_bool_i32              CERTIFIED   16.9s  (pure_RTYPE (a) (b) (XOR))
  arch_au_378_c_band_i32_bool              CERTIFIED   16.7s  (pure_RTYPE (a) (b) (AND))
  arch_au_387_c_band_bool_i32              CERTIFIED   16.6s  (pure_RTYPE (a) (b) (AND))
  arch_au_391_c_eq_i32_i32                 CERTIFIED   16.4s  (pure_ITYPE ((pure_RTYPE (a) (b) (XOR))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_406_c_eq_bool_bool               CERTIFIED   16.6s  (pure_ITYPE ((pure_RTYPE (a) (b) (XOR))) (0x001#12) (LeanIM.iop.XORI))
  arch_au_410_go_pos_i64                   CERTIFIED   16.9s  a
  arch_au_181_c_neg_bool                   CERTIFIED   16.3s  (pure_RTYPE (zero_reg) (a) (LeanIM.rop.SUB))
  arch_au_189_c_preinc_i32                 CERTIFIED   16.4s  (pure_ADDIW (a) ((sign_extend (m := 12) (0x01#6))))
  arch_au_193_c_predec_i32                 CERTIFIED   16.5s  (pure_ADDIW (a) ((sign_extend (m := 12) (0x3f#6))))
  arch_au_242_c_add_i32_bool               CERTIFIED   16.2s  (pure_RTYPEW (a) (b) (ADDW))
  arch_au_251_c_add_bool_i32               CERTIFIED   16.4s  (pure_RTYPEW (a) (b) (ADDW))
  arch_au_254_c_add_bool_bool              CERTIFIED   16.7s  (pure_RTYPE (a) (b) (ADD))
  arch_au_258_c_sub_i32_bool               CERTIFIED   16.3s  (pure_RTYPEW (a) (b) (SUBW))
  arch_au_267_c_sub_bool_i32               CERTIFIED   16.8s  (pure_RTYPEW (a) (b) (SUBW))
  arch_au_270_c_sub_bool_bool              CERTIFIED   16.4s  (pure_RTYPE (a) (b) (SUB))
  arch_au_279_c_div_i32_i32                CERTIFIED   16.5s  (pure_DIVW (a) (b) (false))
  arch_au_280_c_div_i32_i64                CERTIFIED   16.8s  (pure_DIV (a) (b) (false))
  arch_au_281_c_div_i32_u64                CERTIFIED   16.3s  (pure_DIV (a) (b) (true))
  arch_au_282_c_div_i32_bool               CERTIFIED   16.3s  a
  arch_au_283_c_div_i64_i32                CERTIFIED   16.6s  (pure_DIV (a) (b) (false))
  arch_au_284_c_div_i64_i64                CERTIFIED   16.9s  (pure_DIV (a) (b) (false))
  arch_au_287_c_div_u64_i32                CERTIFIED   16.4s  (pure_DIV (a) (b) (true))
  arch_au_291_c_div_bool_i32               CERTIFIED   17.2s  (pure_DIVW (a) (b) (false))
  arch_au_292_c_div_bool_i64               CERTIFIED   16.3s  (pure_DIV (a) (b) (false))
  arch_au_293_c_div_bool_u64               CERTIFIED   16.5s  (pure_DIV (a) (b) (true))
  arch_au_295_c_rem_i32_i32                CERTIFIED   16.3s  (pure_REMW (a) (b) (false))
  arch_au_296_c_rem_i32_i64                CERTIFIED   16.6s  (pure_REM (a) (b) (false))
  arch_au_297_c_rem_i32_u64                CERTIFIED   16.3s  (pure_REM (a) (b) (true))
  arch_au_298_c_rem_i32_bool               CERTIFIED   16.5s  (pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x00#6)))) (ADDI))
  arch_au_299_c_rem_i64_i32                CERTIFIED   16.5s  (pure_REM (a) (b) (false))
  arch_au_300_c_rem_i64_i64                CERTIFIED   16.4s  (pure_REM (a) (b) (false))
  arch_au_303_c_rem_u64_i32                CERTIFIED   16.5s  (pure_REM (a) (b) (true))
  arch_au_307_c_rem_bool_i32               CERTIFIED   17.2s  (pure_REMW (a) (b) (false))
  arch_au_308_c_rem_bool_i64               CERTIFIED   16.8s  (pure_REM (a) (b) (false))
  arch_au_309_c_rem_bool_u64               CERTIFIED   16.3s  (pure_REM (a) (b) (true))
  arch_au_310_c_rem_bool_bool              CERTIFIED   16.0s  (pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x00#6)))) (ADDI))
  arch_au_394_c_eq_i32_bool                CERTIFIED   16.6s  (pure_ITYPE ((pure_RTYPE (a) (b) (XOR))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_403_c_eq_bool_i32                CERTIFIED   16.8s  (pure_ITYPE ((pure_RTYPE (a) (b) (XOR))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_415_go_neg_i64                   CERTIFIED   16.3s  (pure_RTYPE (zero_reg) (a) (LeanIM.rop.SUB))
  arch_au_419_go_cmpl_i64                  CERTIFIED   17.0s  (pure_ITYPE (a) (0xfff#12) (LeanIM.iop.XORI))
  arch_au_426_go_mul_i64_i64               CERTIFIED   16.9s  (pure_MUL (a) (b) ({ result_part := LeanIM.VectorHalf.Low, signed_rs1 := LeanIM.Signedness
  arch_au_439_go_shl_i64_u64               CERTIFIED   16.7s  (pure_RTYPE ((pure_RTYPE (a) (b) (LeanIM.rop.SLL))) ((pure_RTYPE (zero_reg) ((pure_ITYPE (
  arch_au_453_go_band_i64_i64              CERTIFIED   16.4s  (pure_RTYPE (a) (b) (AND))
  arch_au_456_go_andnot_i64_i64            CERTIFIED   16.9s  (pure_RTYPE (a) ((pure_ITYPE (b) (0xfff#12) (LeanIM.iop.XORI))) (LeanIM.rop.AND))
  arch_au_459_go_add_i64_i64               CERTIFIED   16.4s  (pure_RTYPE (a) (b) (ADD))
  arch_au_462_go_sub_i64_i64               CERTIFIED   17.1s  (pure_RTYPE (a) (b) (SUB))
  arch_au_465_go_bor_i64_i64               CERTIFIED   16.4s  (pure_RTYPE (a) (b) (OR))
  arch_au_468_go_bxor_i64_i64              CERTIFIED   16.4s  (pure_RTYPE (a) (b) (XOR))
  arch_au_471_go_eq_i64_i64                CERTIFIED   16.6s  (pure_ITYPE ((pure_RTYPE (a) (b) (LeanIM.rop.SUB))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_475_go_ne_i64_i64                CERTIFIED   16.7s  (pure_RTYPE (zero_reg) ((pure_RTYPE (a) (b) (LeanIM.rop.SUB))) (LeanIM.rop.SLTU))
  arch_au_409_go_pos_i32                   CERTIFIED   16.2s  a
  arch_au_412_go_pos_f32                   CERTIFIED   17.2s  a
  arch_au_414_go_neg_i32                   CERTIFIED   16.3s  (pure_RTYPE (zero_reg) (a) (LeanIM.rop.SUB))
  arch_au_417_go_not_bool                  CERTIFIED   16.4s  (pure_ITYPE (a) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_418_go_cmpl_i32                  CERTIFIED   16.8s  (pure_ITYPE (a) (0xfff#12) (LeanIM.iop.XORI))
  arch_au_425_go_mul_i32_i32               CERTIFIED   16.6s  (pure_MULW (a) (b))
  arch_au_436_go_shl_i32_u64               CERTIFIED   16.9s  (pure_RTYPE ((pure_RTYPE (a) (b) (LeanIM.rop.SLL))) ((pure_RTYPE (zero_reg) ((pure_ITYPE (
  arch_au_445_go_shr_i32_u64               CERTIFIED   17.2s  (pure_RTYPEW (a) ((pure_RTYPE (b) ((pure_ITYPE ((pure_ITYPE (b) (0x020#12) (LeanIM.iop.SLT
  arch_au_448_go_shr_i64_u64               CERTIFIED   16.8s  (pure_RTYPE (a) ((pure_RTYPE (b) ((pure_ITYPE ((pure_ITYPE (b) (0x040#12) (LeanIM.iop.SLTI
  arch_au_451_go_shr_u64_u64               CERTIFIED   16.5s  (pure_RTYPE ((pure_RTYPE (a) (b) (LeanIM.rop.SRL))) ((pure_RTYPE (zero_reg) ((pure_ITYPE (
  arch_au_452_go_band_i32_i32              CERTIFIED   16.6s  (pure_RTYPE (a) (b) (AND))
  arch_au_455_go_andnot_i32_i32            CERTIFIED   16.7s  (pure_RTYPE (a) ((pure_ITYPE (b) (0xfff#12) (LeanIM.iop.XORI))) (LeanIM.rop.AND))
  arch_au_458_go_add_i32_i32               CERTIFIED   16.5s  (pure_RTYPE (a) (b) (ADD))
  arch_au_461_go_sub_i32_i32               CERTIFIED   16.8s  (pure_RTYPE (a) (b) (SUB))
  arch_au_464_go_bor_i32_i32               CERTIFIED   16.4s  (pure_RTYPE (a) (b) (OR))
  arch_au_467_go_bxor_i32_i32              CERTIFIED   16.5s  (pure_RTYPE (a) (b) (XOR))
  arch_au_470_go_eq_i32_i32                CERTIFIED   16.9s  (pure_ITYPE ((pure_RTYPE ((pure_ADDIW (a) (0x000#12))) ((pure_ADDIW (b) (0x000#12))) (Lean
  arch_au_473_go_eq_bool_bool              CERTIFIED   16.5s  (pure_ITYPE ((pure_RTYPE (a) (b) (LeanIM.rop.SUB))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_474_go_ne_i32_i32                CERTIFIED   16.7s  (pure_RTYPE (zero_reg) ((pure_RTYPE ((pure_ADDIW (a) (0x000#12))) ((pure_ADDIW (b) (0x000#
  arch_au_477_go_ne_bool_bool              CERTIFIED   16.8s  (pure_RTYPE (zero_reg) ((pure_RTYPE (a) (b) (LeanIM.rop.SUB))) (LeanIM.rop.SLTU))
  arch_au_478_go_lt_i32_i32                CERTIFIED   16.6s  (pure_RTYPE ((pure_ADDIW (a) (0x000#12))) ((pure_ADDIW (b) (0x000#12))) (LeanIM.rop.SLT))
  arch_au_479_go_lt_i64_i64                CERTIFIED   16.4s  (pure_RTYPE (a) (b) (LeanIM.rop.SLT))
  arch_au_480_go_lt_u64_u64                CERTIFIED   16.3s  (pure_RTYPE (a) (b) (LeanIM.rop.SLTU))
  arch_au_481_go_le_i32_i32                CERTIFIED   17.1s  (pure_ITYPE ((pure_RTYPE ((pure_ADDIW (b) (0x000#12))) ((pure_ADDIW (a) (0x000#12))) (Lean
  arch_au_482_go_le_i64_i64                CERTIFIED   16.7s  (pure_ITYPE ((pure_RTYPE (b) (a) (LeanIM.rop.SLT))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_483_go_le_u64_u64                CERTIFIED   16.9s  (pure_ITYPE ((pure_RTYPE (b) (a) (LeanIM.rop.SLTU))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_484_go_gt_i32_i32                CERTIFIED   17.3s  (pure_RTYPE ((pure_ADDIW (b) (0x000#12))) ((pure_ADDIW (a) (0x000#12))) (LeanIM.rop.SLT))
  arch_au_485_go_gt_i64_i64                CERTIFIED   16.6s  (pure_RTYPE (b) (a) (LeanIM.rop.SLT))
  arch_au_486_go_gt_u64_u64                CERTIFIED   16.4s  (pure_RTYPE (b) (a) (LeanIM.rop.SLTU))
  arch_au_487_go_ge_i32_i32                CERTIFIED   16.7s  (pure_ITYPE ((pure_RTYPE ((pure_ADDIW (a) (0x000#12))) ((pure_ADDIW (b) (0x000#12))) (Lean
  arch_au_488_go_ge_i64_i64                CERTIFIED   16.9s  (pure_ITYPE ((pure_RTYPE (a) (b) (LeanIM.rop.SLT))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_489_go_ge_u64_u64                CERTIFIED   16.8s  (pure_ITYPE ((pure_RTYPE (a) (b) (LeanIM.rop.SLTU))) (0x001#12) (LeanIM.iop.SLTIU))
  arch_au_490_go_land_bool_bool            CERTIFIED   16.6s  (pure_RTYPE (a) (b) (AND))
  arch_au_491_go_lor_bool_bool             CERTIFIED   16.7s  (pure_RTYPE (a) (b) (OR))
  walk: certified 164, failed 0, refused 22, of 186
