canon39_regen_store/op_units2_c_c0096.json: 0 re-gated, 0 canon39-refused skipped (153s)
canon39_regen_store/op_units2_c_c0097.json: 80 re-gated, 0 canon39-refused skipped (154s)
canon39_regen_store/op_units2_c_c0098.json: 105 re-gated, 0 canon39-refused skipped (155s)
canon39_regen_store/op_units2_c_c0099.json: 105 re-gated, 0 canon39-refused skipped (156s)
canon39_regen_store/op_units2_c_c0100.json: 130 re-gated, 0 canon39-refused skipped (157s)
canon39_regen_store/op_units2_c_c0101.json: 105 re-gated, 0 canon39-refused skipped (158s)
canon39_regen_store/op_units2_c_c0102.json: 52 re-gated, 0 canon39-refused skipped (158s)
canon39_regen_store/op_units2_c_c0103.json: 48 re-gated, 0 canon39-refused skipped (159s)
canon39_regen_store/op_units2_c_c0104.json: 0 re-gated, 0 canon39-refused skipped (159s)
canon39_regen_store/op_units2_c_c0105.json: 110 re-gated, 0 canon39-refused skipped (161s)
canon39_regen_store/op_units2_c_c0106.json: 90 re-gated, 0 canon39-refused skipped (162s)
canon39_regen_store/op_units2_c_c0107.json: 120 re-gated, 0 canon39-refused skipped (163s)
canon39_regen_store/op_units2_c_c0108.json: 130 re-gated, 0 canon39-refused skipped (163s)
canon39_regen_store/op_units2_c_c0109.json: 77 re-gated, 0 canon39-refused skipped (164s)
canon39_regen_store/op_units2_c_c0110.json: 75 re-gated, 0 canon39-refused skipped (165s)
canon39_regen_store/op_units2_c_c0111.json: 23 re-gated, 0 canon39-refused skipped (166s)
canon39_regen_store/op_units2_c_c0112.json: 10 re-gated, 0 canon39-refused skipped (166s)
canon39_regen_store/op_units2_c_c0113.json: 130 re-gated, 0 canon39-refused skipped (168s)
canon39_regen_store/op_units2_c_c0114.json: 80 re-gated, 0 canon39-refused skipped (170s)
canon39_regen_store/op_units2_c_c0115.json: 105 re-gated, 0 canon39-refused skipped (171s)
canon39_regen_store/op_units2_c_c0116.json: 125 re-gated, 0 canon39-refused skipped (171s)
canon39_regen_store/op_units2_c_c0117.json: 102 re-gated, 0 canon39-refused skipped (172s)
canon39_regen_store/op_units2_c_c0118.json: 42 re-gated, 0 canon39-refused skipped (173s)
