canon39_regen_store/op_units2_c_c0105.json: 49 with proved terms, 1 rendered, 61 skipped
canon39_regen_store/op_units2_c_c0106.json: 79 with proved terms, 0 rendered, 11 skipped
canon39_regen_store/op_units2_c_c0107.json: 102 with proved terms, 0 rendered, 18 skipped
canon39_regen_store/op_units2_c_c0108.json: 115 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_c_c0109.json: 66 with proved terms, 3 rendered, 11 skipped
canon39_regen_store/op_units2_c_c0110.json: 64 with proved terms, 2 rendered, 11 skipped
canon39_regen_store/op_units2_c_c0111.json: 0 with proved terms, 0 rendered, 23 skipped
canon39_regen_store/op_units2_c_c0112.json: 3 with proved terms, 0 rendered, 7 skipped
canon39_regen_store/op_units2_c_c0113.json: 73 with proved terms, 5 rendered, 57 skipped
canon39_regen_store/op_units2_c_c0114.json: 69 with proved terms, 0 rendered, 11 skipped
canon39_regen_store/op_units2_c_c0115.json: 90 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_c_c0116.json: 110 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_c_c0117.json: 87 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_c_c0118.json: 40 with proved terms, 0 rendered, 2 skipped
canon39_regen_store/op_units2_c_c0119.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0120.json: 76 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0121.json: 76 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0122.json: 115 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0123.json: 75 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0124.json: 19 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0125.json: 28 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0126.json: 86 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0127.json: 104 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0128.json: 87 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0129.json: 37 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0000.json: 153 with proved terms, 84 rendered, 5 skipped
canon39_regen_store/op_units2_cpp_c0001.json: 101 with proved terms, 78 rendered, 4 skipped
canon39_regen_store/op_units2_cpp_c0002.json: 34 with proved terms, 34 rendered, 26 skipped
canon39_regen_store/op_units2_cpp_c0003.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0004.json: 3 with proved terms, 0 rendered, 24 skipped
canon39_regen_store/op_units2_cpp_c0005.json: 144 with proved terms, 114 rendered, 17 skipped
canon39_regen_store/op_units2_cpp_c0006.json: 123 with proved terms, 54 rendered, 11 skipped
canon39_regen_store/op_units2_cpp_c0007.json: 102 with proved terms, 68 rendered, 10 skipped
canon39_regen_store/op_units2_cpp_c0008.json: 130 with proved terms, 90 rendered, 10 skipped
canon39_regen_store/op_units2_cpp_c0009.json: 87 with proved terms, 67 rendered, 8 skipped
canon39_regen_store/op_units2_cpp_c0010.json: 25 with proved terms, 15 rendered, 28 skipped
canon39_regen_store/op_units2_cpp_c0011.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0012.json: 3 with proved terms, 0 rendered, 25 skipped
canon39_regen_store/op_units2_cpp_c0013.json: 170 with proved terms, 137 rendered, 18 skipped
canon39_regen_store/op_units2_cpp_c0014.json: 102 with proved terms, 35 rendered, 9 skipped
canon39_regen_store/op_units2_cpp_c0015.json: 127 with proved terms, 82 rendered, 12 skipped
canon39_regen_store/op_units2_cpp_c0016.json: 130 with proved terms, 95 rendered, 11 skipped
canon39_regen_store/op_units2_cpp_c0017.json: 79 with proved terms, 57 rendered, 7 skipped
canon39_regen_store/op_units2_cpp_c0018.json: 3 with proved terms, 2 rendered, 26 skipped
canon39_regen_store/op_units2_cpp_c0019.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0020.json: 25 with proved terms, 14 rendered, 30 skipped
canon39_regen_store/op_units2_cpp_c0021.json: 176 with proved terms, 96 rendered, 18 skipped
canon39_regen_store/op_units2_cpp_c0022.json: 101 with proved terms, 53 rendered, 8 skipped
canon39_regen_store/op_units2_cpp_c0023.json: 131 with proved terms, 75 rendered, 10 skipped
canon39_regen_store/op_units2_cpp_c0024.json: 107 with proved terms, 78 rendered, 9 skipped
canon39_regen_store/op_units2_cpp_c0025.json: 74 with proved terms, 50 rendered, 7 skipped
canon39_regen_store/op_units2_cpp_c0026.json: 0 with proved terms, 0 rendered, 26 skipped
canon39_regen_store/op_units2_cpp_c0027.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0028.json: 9 with proved terms, 3 rendered, 78 skipped
canon39_regen_store/op_units2_cpp_c0029.json: 155 with proved terms, 9 rendered, 26 skipped
canon39_regen_store/op_units2_cpp_c0030.json: 105 with proved terms, 26 rendered, 18 skipped
canon39_regen_store/op_units2_cpp_c0031.json: 120 with proved terms, 10 rendered, 20 skipped
canon39_regen_store/op_units2_cpp_c0032.json: 69 with proved terms, 5 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0033.json: 66 with proved terms, 5 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0034.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0035.json: 50 with proved terms, 5 rendered, 49 skipped
canon39_regen_store/op_units2_cpp_c0036.json: 128 with proved terms, 6 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0037.json: 100 with proved terms, 5 rendered, 10 skipped
canon39_regen_store/op_units2_cpp_c0038.json: 96 with proved terms, 5 rendered, 14 skipped
canon39_regen_store/op_units2_cpp_c0039.json: 20 with proved terms, 1 rendered, 30 skipped
canon39_regen_store/op_units2_cpp_c0040.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0041.json: 26 with proved terms, 0 rendered, 30 skipped
canon39_regen_store/op_units2_cpp_c0042.json: 182 with proved terms, 1 rendered, 14 skipped
canon39_regen_store/op_units2_cpp_c0043.json: 104 with proved terms, 0 rendered, 9 skipped
canon39_regen_store/op_units2_cpp_c0044.json: 131 with proved terms, 0 rendered, 10 skipped
canon39_regen_store/op_units2_cpp_c0045.json: 135 with proved terms, 0 rendered, 11 skipped
canon39_regen_store/op_units2_cpp_c0046.json: 84 with proved terms, 0 rendered, 6 skipped
canon39_regen_store/op_units2_cpp_c0047.json: 14 with proved terms, 0 rendered, 28 skipped
canon39_regen_store/op_units2_cpp_c0048.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0049.json: 52 with proved terms, 0 rendered, 32 skipped
canon39_regen_store/op_units2_cpp_c0050.json: 182 with proved terms, 1 rendered, 15 skipped
canon39_regen_store/op_units2_cpp_c0051.json: 105 with proved terms, 0 rendered, 8 skipped
canon39_regen_store/op_units2_cpp_c0052.json: 135 with proved terms, 0 rendered, 11 skipped
canon39_regen_store/op_units2_cpp_c0053.json: 124 with proved terms, 0 rendered, 8 skipped
canon39_regen_store/op_units2_cpp_c0054.json: 78 with proved terms, 0 rendered, 6 skipped
canon39_regen_store/op_units2_cpp_c0055.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0056.json: 63 with proved terms, 28 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0057.json: 139 with proved terms, 82 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0058.json: 148 with proved terms, 76 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0059.json: 95 with proved terms, 49 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0060.json: 39 with proved terms, 25 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0061.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_cpp_c0062.json: 153 with proved terms, 85 rendered, 0 skipped
