Kaccess.slice_19|-|REFUSE:error[E0608]: cannot index into a value of type `R3`    --> /work/kx_rust/src/p00041.rs:150:18     | 150 |     let _r = &(a)[(b)..(c)];     |                  ^^^^^^^^^^  error: aborting due to 1 prev
Kaccess.slice_20|-|REFUSE:error[E0277]: the type `[Vec<i64>]` cannot be indexed by `std::ops::Range<i32>`    --> /work/kx_rust/src/p00042.rs:150:19     | 150 |     let _r = &(a)[(b)..(c)];     |                   ^^^^^^^^ slic
Kaccess.slice_21|-|REFUSE:error[E0608]: cannot index into a value of type `Node`    --> /work/kx_rust/src/p00043.rs:150:18     | 150 |     let _r = &(a)[(b)..(c)];     |                  ^^^^^^^^^^  error: aborting due to 1 pr
Kaccess.subscript_0_0|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00044.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_1|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00045.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_2|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00046.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_3|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00047.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_4|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00048.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_5|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00049.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
Kaccess.subscript_0_6|-|REFUSE:error[E0608]: cannot index into a value of type `()`    --> /work/kx_rust/src/p00050.rs:149:18     | 149 |     let _r = &(a)[(b)];     |                  ^^^^^     |     = help: tuples are indexed wit
